time,motor,position,current
35.5394,21,2047,-25
35.5714,22,1305,122
35.6036,23,2068,-1
35.6354,24,1640,48
35.6674,25,1728,8
35.716,3,285,-49
35.7473,4,3529,0
35.7794,5,2050,18
35.8114,6,3457,62
35.8433,7,1910,-15
35.8753,9,1485,-11
35.9073,10,2255,0
35.9393,11,2840,1
35.9713,12,989,48
36.0033,13,2048,0
36.0353,14,1668,125
36.0672,15,1599,21
36.0993,16,1829,96
36.1312,17,962,9
36.1632,18,2022,0
36.1952,19,1556,-30
36.2271,20,2108,-10
36.2592,21,2046,-26
36.2912,22,1307,109
36.3232,23,2068,-3
36.3551,24,1676,173
36.3871,25,1727,6
36.4357,3,284,-47
36.4672,4,3529,0
36.4991,5,2049,22
36.5312,6,3457,61
36.563,7,1911,-15
36.5951,9,1485,-8
36.627,10,2224,-118
36.659,11,2840,0
36.6911,12,997,4
36.723,13,2047,0
36.755,14,1668,124
36.7873,15,1599,22
36.819,16,1829,96
36.851,17,962,11
36.883,18,2022,0
36.915,19,1556,-27
36.9469,20,2102,18
36.9789,21,2046,-27
37.0108,22,1307,109
37.043,23,2066,0
37.0749,24,1677,140
37.1069,25,1727,7
37.1553,3,284,-49
37.1869,4,3528,0
37.2191,5,2049,21
37.2509,6,3456,61
37.2829,7,1911,-15
37.3148,9,1483,-5
37.3468,10,2213,-7
37.3787,11,2840,1
37.4107,12,1030,89
37.4427,13,2047,0
37.4748,14,1668,122
37.5068,15,1599,22
37.5388,16,1829,100
37.5707,17,963,11
37.6026,18,2022,0
37.6349,19,1556,-33
37.6668,20,2103,10
37.6987,21,2046,-25
37.7307,22,1311,72
37.7627,23,2066,0
37.7947,24,1682,110
37.8267,25,1727,7
37.8752,3,285,-47
37.9066,4,3528,0
37.9386,5,2049,22
37.9706,6,3456,60
38.0027,7,1911,-15
38.0348,9,1481,0
38.0666,10,2212,-11
38.0986,11,2839,0
38.1306,12,1033,89
38.1625,13,2047,1
38.1945,14,1712,185
38.2265,15,1598,25
38.2584,16,1829,99
38.2905,17,964,8
38.3224,18,2024,0
38.3545,19,1556,-29
